data;nome_drs;ocupacao_leitos;pacientes_uti_ultimo_dia;total_covid_uti_ultimo_dia;ocupacao_leitos_ultimo_dia;internacoes_ultimo_dia;pacientes_enf_ultimo_dia;total_covid_enf_ultimo_dia;;;Comando para o HeideSQL
10/10/2020;DRS 09 Marília;41.79;65;155;41.94;32;99;449;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 09 Marília', 41.79, 65, 155, 41.94, 32, 99, 449);"
10/10/2020;DRS 10 Piracicaba;34.76;72;239;30.13;27;91;395;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 10 Piracicaba', 34.76, 72, 239, 30.13, 27, 91, 395);"
10/10/2020;DRS 11 Presidente Prudente;62.2;47;78;60.26;22;116;198;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 11 Presidente Prudente', 62.2, 47, 78, 60.26, 22, 116, 198);"
10/10/2020;DRS 12 Registro;28.56;11;39;28.21;5;14;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 12 Registro', 28.56, 11, 39, 28.21, 5, 14, 55);"
10/10/2020;DRS 13 Ribeirão Preto;51.99;148;308;48.05;52;247;499;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 13 Ribeirão Preto', 51.99, 148, 308, 48.05, 52, 247, 499);"
10/10/2020;DRS 14 São João da Boa Vista;43.69;47;126;37.3;25;104;414;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 14 São João da Boa Vista', 43.69, 47, 126, 37.3, 25, 104, 414);"
10/10/2020;DRS 15 São José do Rio Preto;59.42;265;442;59.95;91;329;615;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 15 São José do Rio Preto', 59.42, 265, 442, 59.95, 91, 329, 615);"
10/10/2020;DRS 16 Sorocaba;47.19;110;229;48.03;35;147;631;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 16 Sorocaba', 47.19, 110, 229, 48.03, 35, 147, 631);"
10/10/2020;DRS 17 Taubaté;34.19;137;442;31;47;188;867;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 17 Taubaté', 34.19, 137, 442, 31, 47, 188, 867);"
10/10/2020;Estado de São Paulo;43;3610;8548;42.23;1204;4816;14536;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'Estado de São Paulo', 43, 3610, 8548, 42.23, 1204, 4816, 14536);"
11/10/2020;DRS 01 Grande São Paulo;41.97;1882;4648;40.49;466;2431;6758;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 01 Grande São Paulo', 41.97, 1882, 4648, 40.49, 466, 2431, 6758);"
11/10/2020;DRS 02 Araçatuba;50;64;123;52.03;16;92;303;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 02 Araçatuba', 50, 64, 123, 52.03, 16, 92, 303);"
11/10/2020;DRS 03 Araraquara;37.84;50;126;39.68;37;131;385;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 03 Araraquara', 37.84, 50, 126, 39.68, 37, 131, 385);"
11/10/2020;DRS 04 Baixada Santista;25.96;107;402;26.62;19;168;673;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 04 Baixada Santista', 25.96, 107, 402, 26.62, 19, 168, 673);"
11/10/2020;DRS 05 Barretos;62.64;57;91;62.64;17;43;215;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 05 Barretos', 62.64, 57, 91, 62.64, 17, 43, 215);"
11/10/2020;DRS 06 Bauru;66.67;145;230;63.04;34;205;542;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 06 Bauru', 66.67, 145, 230, 63.04, 34, 205, 542);"
11/10/2020;DRS 07 Campinas;38.86;235;654;35.93;45;324;1201;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 07 Campinas', 38.86, 235, 654, 35.93, 45, 324, 1201);"
11/10/2020;DRS 08 Franca;50.91;52;110;47.27;21;67;224;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 08 Franca', 50.91, 52, 110, 47.27, 21, 67, 224);"
11/10/2020;DRS 09 Marília;41.13;62;161;38.51;27;94;487;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 09 Marília', 41.13, 62, 161, 38.51, 27, 94, 487);"
11/10/2020;DRS 10 Piracicaba;33.57;67;237;28.27;15;82;391;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 10 Piracicaba', 33.57, 67, 237, 28.27, 15, 82, 391);"
11/10/2020;DRS 11 Presidente Prudente;63.62;54;79;68.35;22;104;198;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 11 Presidente Prudente', 63.62, 54, 79, 68.35, 22, 104, 198);"
11/10/2020;DRS 12 Registro;29.31;13;39;33.33;8;12;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 12 Registro', 29.31, 13, 39, 33.33, 8, 12, 55);"
11/10/2020;DRS 13 Ribeirão Preto;50.95;148;312;47.44;42;224;521;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 13 Ribeirão Preto', 50.95, 148, 312, 47.44, 42, 224, 521);"
11/10/2020;DRS 14 São João da Boa Vista;42.62;43;126;34.13;17;88;413;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 14 São João da Boa Vista', 42.62, 43, 126, 34.13, 17, 88, 413);"
11/10/2020;DRS 15 São José do Rio Preto;58.79;247;443;55.76;89;300;614;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 15 São José do Rio Preto', 58.79, 247, 443, 55.76, 89, 300, 614);"
11/10/2020;DRS 16 Sorocaba;47.38;105;230;45.65;24;144;628;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 16 Sorocaba', 47.38, 105, 230, 45.65, 24, 144, 628);"
11/10/2020;DRS 17 Taubaté;34.37;151;418;36.12;52;180;892;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'DRS 17 Taubaté', 34.37, 151, 418, 36.12, 52, 180, 892);"
11/10/2020;Estado de São Paulo;42.85;3482;8429;41.31;951;4689;14500;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-11', 'Estado de São Paulo', 42.85, 3482, 8429, 41.31, 951, 4689, 14500);"
12/10/2020;DRS 01 Grande São Paulo;41.91;1892;4673;40.49;429;2402;6764;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 01 Grande São Paulo', 41.91, 1892, 4673, 40.49, 429, 2402, 6764);"
12/10/2020;DRS 02 Araçatuba;50.66;64;120;53.33;15;78;300;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 02 Araçatuba', 50.66, 64, 120, 53.33, 15, 78, 300);"
12/10/2020;DRS 03 Araraquara;37.92;44;124;35.48;18;99;388;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 03 Araraquara', 37.92, 44, 124, 35.48, 18, 99, 388);"
12/10/2020;DRS 04 Baixada Santista;25.95;104;403;25.81;33;152;671;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 04 Baixada Santista', 25.95, 104, 403, 25.81, 33, 152, 671);"
12/10/2020;DRS 05 Barretos;62.01;51;91;56.04;14;37;218;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 05 Barretos', 62.01, 51, 91, 56.04, 14, 37, 218);"
12/10/2020;DRS 06 Bauru;66.48;147;229;64.19;28;204;559;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 06 Bauru', 66.48, 147, 229, 64.19, 28, 204, 559);"
12/10/2020;DRS 07 Campinas;38.65;236;647;36.48;79;339;1185;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 07 Campinas', 38.65, 236, 647, 36.48, 79, 339, 1185);"
12/10/2020;DRS 08 Franca;50.39;52;110;47.27;11;61;216;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 08 Franca', 50.39, 52, 110, 47.27, 11, 61, 216);"
12/10/2020;DRS 09 Marília;39.7;59;165;35.76;11;96;486;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 09 Marília', 39.7, 59, 165, 35.76, 11, 96, 486);"
12/10/2020;DRS 10 Piracicaba;32.39;71;239;29.71;11;75;391;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 10 Piracicaba', 32.39, 71, 239, 29.71, 11, 75, 391);"
12/10/2020;DRS 11 Presidente Prudente;64.24;50;78;64.1;22;98;203;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 11 Presidente Prudente', 64.24, 50, 78, 64.1, 22, 98, 203);"
12/10/2020;DRS 12 Registro;30.03;12;39;30.77;2;13;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 12 Registro', 30.03, 12, 39, 30.77, 2, 13, 55);"
12/10/2020;DRS 13 Ribeirão Preto;49.14;130;307;42.35;40;227;518;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 13 Ribeirão Preto', 49.14, 130, 307, 42.35, 40, 227, 518);"
12/10/2020;DRS 14 São João da Boa Vista;41.39;47;130;36.15;12;97;412;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 14 São João da Boa Vista', 41.39, 47, 130, 36.15, 12, 97, 412);"
12/10/2020;DRS 15 São José do Rio Preto;57.95;240;440;54.55;57;306;619;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 15 São José do Rio Preto', 57.95, 240, 440, 54.55, 57, 306, 619);"
12/10/2020;DRS 16 Sorocaba;47.33;114;233;48.93;25;138;637;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 16 Sorocaba', 47.33, 114, 233, 48.93, 25, 138, 637);"
12/10/2020;DRS 17 Taubaté;34.62;151;400;37.75;37;168;835;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'DRS 17 Taubaté', 34.62, 151, 400, 37.75, 37, 168, 835);"
12/10/2020;Estado de São Paulo;42.64;3464;8428;41.1;844;4590;14457;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-12', 'Estado de São Paulo', 42.64, 3464, 8428, 41.1, 844, 4590, 14457);"
13/10/2020;DRS 01 Grande São Paulo;41.69;1984;4676;42.43;433;2343;6850;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 01 Grande São Paulo', 41.69, 1984, 4676, 42.43, 433, 2343, 6850);"
13/10/2020;DRS 02 Araçatuba;51.61;61;117;52.14;16;82;303;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 02 Araçatuba', 51.61, 61, 117, 52.14, 16, 82, 303);"
13/10/2020;DRS 03 Araraquara;37.57;41;123;33.33;27;105;385;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 03 Araraquara', 37.57, 41, 123, 33.33, 27, 105, 385);"
13/10/2020;DRS 04 Baixada Santista;25.81;104;403;25.81;36;167;673;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 04 Baixada Santista', 25.81, 104, 403, 25.81, 36, 167, 673);"
13/10/2020;DRS 05 Barretos;61.38;57;91;62.64;17;27;215;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 05 Barretos', 61.38, 57, 91, 62.64, 17, 27, 215);"
13/10/2020;DRS 06 Bauru;66.03;143;231;61.9;40;198;598;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 06 Bauru', 66.03, 143, 231, 61.9, 40, 198, 598);"
13/10/2020;DRS 07 Campinas;38.41;246;647;38.02;48;313;1182;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 07 Campinas', 38.41, 246, 647, 38.02, 48, 313, 1182);"
13/10/2020;DRS 08 Franca;48.7;49;110;44.55;19;64;226;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 08 Franca', 48.7, 49, 110, 44.55, 19, 64, 226);"
13/10/2020;DRS 09 Marília;39.25;68;165;41.21;16;80;449;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 09 Marília', 39.25, 68, 165, 41.21, 16, 80, 449);"
13/10/2020;DRS 10 Piracicaba;31.67;73;239;30.54;14;71;394;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 10 Piracicaba', 31.67, 73, 239, 30.54, 14, 71, 394);"
13/10/2020;DRS 11 Presidente Prudente;63.26;44;78;56.41;8;86;195;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 11 Presidente Prudente', 63.26, 44, 78, 56.41, 8, 86, 195);"
13/10/2020;DRS 12 Registro;30.41;11;39;28.21;1;11;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 12 Registro', 30.41, 11, 39, 28.21, 1, 11, 55);"
13/10/2020;DRS 13 Ribeirão Preto;47.48;128;296;43.24;39;232;505;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 13 Ribeirão Preto', 47.48, 128, 296, 43.24, 39, 232, 505);"
13/10/2020;DRS 14 São João da Boa Vista;39.68;49;130;37.69;15;85;421;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 14 São João da Boa Vista', 39.68, 49, 130, 37.69, 15, 85, 421);"
13/10/2020;DRS 15 São José do Rio Preto;56.84;231;443;52.14;54;299;618;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 15 São José do Rio Preto', 56.84, 231, 443, 52.14, 54, 299, 618);"
13/10/2020;DRS 16 Sorocaba;48.06;116;231;50.22;27;148;668;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 16 Sorocaba', 48.06, 116, 231, 50.22, 27, 148, 668);"
13/10/2020;DRS 17 Taubaté;35.26;154;389;39.59;35;162;852;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'DRS 17 Taubaté', 35.26, 154, 389, 39.59, 35, 162, 852);"
13/10/2020;Estado de São Paulo;42.34;3559;8408;42.33;845;4473;14589;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-13', 'Estado de São Paulo', 42.34, 3559, 8408, 42.33, 845, 4473, 14589);"
14/10/2020;DRS 01 Grande São Paulo;41.34;1927;4656;41.39;464;2309;6637;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 01 Grande São Paulo', 41.34, 1927, 4656, 41.39, 464, 2309, 6637);"
14/10/2020;DRS 02 Araçatuba;52.32;63;117;53.85;22;89;302;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 02 Araçatuba', 52.32, 63, 117, 53.85, 22, 89, 302);"
14/10/2020;DRS 03 Araraquara;35.84;36;123;29.27;25;109;379;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 03 Araraquara', 35.84, 36, 123, 29.27, 25, 109, 379);"
14/10/2020;DRS 04 Baixada Santista;26.62;120;401;29.93;21;162;680;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 04 Baixada Santista', 26.62, 120, 401, 29.93, 21, 162, 680);"
14/10/2020;DRS 05 Barretos;61.07;49;91;53.85;12;29;218;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 05 Barretos', 61.07, 49, 91, 53.85, 12, 29, 218);"
14/10/2020;DRS 06 Bauru;64.61;134;227;59.03;30;197;554;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 06 Bauru', 64.61, 134, 227, 59.03, 30, 197, 554);"
14/10/2020;DRS 07 Campinas;38.23;249;646;38.54;68;313;1192;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 07 Campinas', 38.23, 249, 646, 38.54, 68, 313, 1192);"
14/10/2020;DRS 08 Franca;45.97;44;110;40;20;68;222;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 08 Franca', 45.97, 44, 110, 40, 20, 68, 222);"
14/10/2020;DRS 09 Marília;40.02;72;161;44.72;18;76;449;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 09 Marília', 40.02, 72, 161, 44.72, 18, 76, 449);"
14/10/2020;DRS 10 Piracicaba;31.09;77;237;32.49;21;82;391;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 10 Piracicaba', 31.09, 77, 237, 32.49, 21, 82, 391);"
14/10/2020;DRS 11 Presidente Prudente;61.38;45;80;56.25;10;89;196;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 11 Presidente Prudente', 61.38, 45, 80, 56.25, 10, 89, 196);"
14/10/2020;DRS 12 Registro;29.67;9;39;23.08;2;10;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 12 Registro', 29.67, 9, 39, 23.08, 2, 10, 55);"
14/10/2020;DRS 13 Ribeirão Preto;46.93;146;295;49.49;47;226;516;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 13 Ribeirão Preto', 46.93, 146, 295, 49.49, 47, 226, 516);"
14/10/2020;DRS 14 São João da Boa Vista;37.6;44;126;34.92;12;81;411;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-14', 'DRS 14 São João da Boa Vista', 37.6, 44, 126, 34.92, 12, 81, 411);"
